EPG名称,APP地址
ONE,P2p://starvod.xyz:19806/888ec28084ce4fc2921091dacf57f75d
NickJr.,P2p://starvod.xyz:19806/0f5b1be36f394e1faf807e113b0d1d5e
Nick Jr.,P2p://starvod.xyz:19806/0f5b1be36f394e1faf807e113b0d1d5e
NBA,P2p://starvod.xyz:19806/8c639ea13d9d459a901bb2af7037963f
KBS World,P2p://starvod.xyz:19806/f5373fd4d9224213a84809ffef30ab3e
HITS,P2p://starvod.xyz:19806/d702858c1e4f43739a01d63b99c25ff3
HGTV居家乐活频道,P2p://starvod.xyz:19806/757d2271d10a46eba1301b5883f27cff
GEM,#N/A
Fox News,P2p://starvod.xyz:19806/22f238c5082a4ba8b7bb1f9d0cf7b8da
Euronews,P2p://starvod.xyz:19806/b83d783e62e54280851f4ce9a7d0b999
CNBC,P2p://starvod.xyz:19806/e96a82adc3c2419788ea3c76a60950d6
CGTN,P2p://147.135.39.171:9906/67401ba5000028f7123586380c484e3a
Boomerang,P2p://starvod.xyz:19806/5e53fa85030546de928bae0d6fb2e495
Bloomberg TV,P2p://starvod.xyz:19806/712f24e740244820a103847493e77ae8
BBC World News,P2p://starvod.xyz:19806/e83e36626974430a8e426edd35ace5f3
Arirang,P2p://starvod.xyz:19806/e57f0c11cb1f41b29405c396a15a8ece
日　本,#genre#
NHK-G综合,P2p://starvod.xyz:19806/5683ac0ebe1f4523b0326b0dd1fe5b21
NHK-E教育,P2p://starvod.xyz:19806/42009d5e1c224c3d84b3bdfb5a36eace
日本テレビ,P2p://starvod.xyz:19806/dbb5e8fc42e748ca82ef290140ae9d29
TBSテレビ,P2p://starvod.xyz:19806/b4b67ac3159046958c9123d56c4c95c5
フジテレビ,P2p://starvod.xyz:19806/4bcbc7ed45f9431ca21afa1cd5b6186f
読売テレビ,P2p://starvod.xyz:19806/71e502523d3c456b8a0b8895bbb7fd75
KBS京都,P2p://starvod.xyz:19806/ed8008edd2ac41d2bfda89b37a928dcb
関西テレビ,P2p://starvod.xyz:19806/75ac56528c50474fb02cb433b1ac2d03
テレビ東京,P2p://starvod.xyz:19806/39ffbdf00d0a42e0bdb85323eb9ff855
毎日放送,P2p://starvod.xyz:19806/b376153a7ae3429a8057eae4520f672b
Green Channel,P2p://starvod.xyz:19806/c6c4d7c5da44400c9f38f81081a933b9
朝日放送,P2p://starvod.xyz:19806/c30b15deca834941b9deeea3dc875fd7
テレビ大阪,P2p://starvod.xyz:19806/5b2788b536e848508502b84a6a3653e1
BS-1,P2p://starvod.xyz:19806/d622742e8efb4b429942aa16a5ef0b4c
BS日テレ,P2p://starvod.xyz:19806/ac9aad30ea6a4ae7bf9e896b48e1a5c1
BS朝日,P2p://starvod.xyz:19806/cbc080534bc244febf72df73336b139e
BS-TBS,P2p://starvod.xyz:19806/3c4a25c647a5482fa389492b37b2e8f8
BS11,P2p://starvod.xyz:19806/d78d2131aed0465cb02b34c387d6b16a
BSフジ,P2p://starvod.xyz:19806/aab3d912f0c74d28956e5847ea9a3d9b
WOWOWプライム,P2p://starvod.xyz:19806/8c3936e5fabb42b9b8d99ad3ec9ec3a2
WOWOWライブ,P2p://starvod.xyz:19806/395999af5aea45ebb36f03a01f658d74
WOWOWシネマ,P2p://starvod.xyz:19806/bb4b93e10062432a830484e398f78484
スター・チャンネル1,P2p://starvod.xyz:19806/27314946f4514494bee9a4ca9465eb03
スター・チャンネル2,#N/A
スター・チャンネル3,#N/A
BSアニマックス,P2p://starvod.xyz:19806/fcdf6ef2367844a2b2177b8318c4a3e4
J Sports 1,P2p://starvod.xyz:19806/1ce4ee35da9e41c6b10b29b2ecfea9f7
J Sports 2,P2p://starvod.xyz:19806/59ce0e9ed54d4c1e9fb83d6e73738eef
J Sports 3,P2p://starvod.xyz:19806/79d96d19318f4596b2c14a785b11e6d6
J Sports 4,P2p://starvod.xyz:19806/77374a63fca04b3aae6c0ccf6dd7166e
